date,ecole,type ecole,latitude,longitude,prevision,reel,effectif,taux_grevistes,nos,ind,greves_manquantes,Unnamed: 12,menu,ferie,veille_ferie,retour_ferie,vacances,retour_vacances,veille_vacances,inc_grippe,inc_gastro,inc_varicelle,inc_covid,fete_musulmane,ramadan,fete_chretienne,fete_juive,jour,semaine,mois,annee_scolaire,repas_noel,gaspillage_volume,gaspillage_pourcentage,porc,viande,poisson,4_premiers_jours,4_derniers_jours,Unnamed: 40,Entrée,Plat,Accompagnement,Fromage,Dessert,Entrée Food Type,Plat Food Type,Accompagnement Food Type,Fromage Food Type,Dessert Food Type,Entrée_Bio,Plat_Bio,Accompagnement_Bio,Fromage_Bio,Dessert_Bio,affluence_reelle,affluence_reelle_predite,gaspillage_predit,gaspillage_predit_pourcentage
08/01/2024,AIME CESAIRE,Elementaires,48.651733,2.378185,-1.0,57.0,177,-1.0,-1.0,-1.0,-1.0,lundi,"['filet de hoki','pomme de terre perdillées','mimollette','pomme golden','pain demie-beure','barre de chocolat']",0,0,0,0,1,0,194.0,123.0,11.0,335.0,0,0,0.0,0,Lundi,2,Janvier,2023-2024,0.0,-1.0,0,0.0,0.0,1.0,0,0,Lundi,-1,['filet de hoki'],['pomme de terre perdillées'],['mimollette'],"['pomme golden','pain demie-beure','barre de chocolat']",-1,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,57.0,58.51422,1.51422119140625,2.5877832099192966
09/01/2024,AIME CESAIRE,Elementaires,48.651733,2.378185,-1.0,67.0,177,-1.0,-1.0,-1.0,-1.0,mardi ,"['feuille de chène blonde','Crozillette aux petits pois','Roblochon','Purée de pomme bio','Yahourt nature-Biscuit-fruit']",0,0,0,0,0,0,194.0,123.0,11.0,335.0,0,0,0.0,0,Mardi,2,Janvier,2023-2024,0.0,-1.0,0,0.0,0.0,0.0,0,0,Mardi,['feuille de chène blonde'],['Crozillette aux petits pois'],-1,['Roblochon'],"['Purée de pomme bio','Yahourt nature','Biscuit-fruit']",-1,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,67.0,58.29132,-8.70867919921875,-14.939924296760887
11/01/2024,AIME CESAIRE,Elementaires,48.651733,2.378185,-1.0,66.0,177,-1.0,-1.0,-1.0,-1.0,jeudi,"['salade de letilles','dos de cabillaud sauce dieppoise-riz trois grains','edam bio','petit suisse aromatisé','Gâteau-jus de fruit']",0,0,0,0,0,0,194.0,123.0,11.0,335.0,0,0,0.0,0,Jeudi,2,Janvier,2023-2024,0.0,-1.0,0,0.0,0.0,1.0,0,0,Jeudi,['salade de letilles'],['dos de cabillaud sauce dieppoise'],['riz trois grains'],['edam bio'],"['petit suisse aromatisé','Gâteau-jus de fruit']",-1,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,66.0,65.99993,-6.866455078125e-05,-0.00010403730639090769
12/01/2024,AIME CESAIRE,Elementaires,48.651733,2.378185,-1.0,69.0,177,-1.0,-1.0,-1.0,-1.0,vendredi,"['salade verte',' bœuf bourguignons -Carottes rondellettes','yahourt aromatisé','gallette des rois','pop corn sucré-purée de fruit-lait aromatisé]",0,0,0,0,0,0,194.0,123.0,11.0,335.0,0,0,0.0,0,Vendredi,2,Janvier,2023-2024,0.0,-1.0,0,0.0,1.0,0.0,0,0,Vendredi,['salade verte'],['bœuf bourguignons'],['Carottes rondellettes'],['yahourt aromatisé'],"['gallette des rois','pop corn sucré','purée de fruit','lait aromatisé']",-1,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,69.0,68.999725,-0.000274658203125,-0.00039805695133488396
15/01/2024,AIME CESAIRE,Elementaires,48.651733,2.378185,69.0,59.0,177,-1.0,-1.0,-1.0,-1.0,lundi,"['salade de haricots rouges',' sauté de veau marengo-haricots verts et champignons',' fromage blanc',' poire','pain-fromage-compote]",0,0,0,0,0,0,245.0,126.0,10.0,390.0,0,0,0.0,0,Lundi,3,Janvier,2023-2024,0.0,-1.0,0,0.0,1.0,0.0,0,0,Lundi,[''salade de haricots rouges'],['sauté de veau marengo'],['haricots verts et champignons'],[' fromage blanc'],"['poire','pain','fromage','compote']",-1,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,59.0,58.999435,-0.0005645751953125,-0.0009569162674989595
16/01/2024,AIME CESAIRE,Elementaires,48.651733,2.378185,69.0,60.0,177,-1.0,-1.0,-1.0,-1.0,mardi,"['Iceberg vtte échalotte- trio de quinoa boulgour et blé','Pavé demi sel','Purée P/banane Bio','Pain-Pâte à tartiner-lait]",0,0,0,0,0,0,245.0,126.0,10.0,390.0,0,0,0.0,0,Mardi,3,Janvier,2023-2024,0.0,-1.0,0,0.0,0.0,0.0,0,0,Mardi,['Iceberg vtte échalotte'],['trio de quinoa boulgour'],['blé'],['Pavé demi sel'],"['Purée P/banane Bio','Pain-Pâte à tartiner-lait]",-1,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,60.0,59.96308,-0.03691864013671875,-0.06156895092691235
18/01/2024,AIME CESAIRE,Elementaires,48.651733,2.378185,69.0,67.0,177,-1.0,-1.0,-1.0,-1.0,jeudi,"['Duo de choux','Saumonnette sauce crème Duxelle -Epinards à la béchamel','Camenbert bio','crème chocolat','Biscuit-lait-fruit]",0,0,0,0,0,0,245.0,126.0,10.0,390.0,0,0,0.0,0,Jeudi,3,Janvier,2023-2024,0.0,-1.0,0,0.0,0.0,1.0,0,0,Jeudi,['Duo de choux'],"['Saumonnette sauce crème Duxelle','Epinards à la béchamel']",-1,['Camenbert bio'],"['crème chocolat','Biscuit-lait-fruit]",-1,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,67.0,66.99998,-2.288818359375e-05,-3.416147972043611e-05
19/01/2024,AIME CESAIRE,Elementaires,48.651733,2.378185,69.0,59.0,177,-1.0,-1.0,-1.0,-1.0,vendredi,"[poulet roti sauceforestière-Penne','Mimmollette','Clémentine','yahourt-pain d'épices','-jus de fruits']",0,0,0,0,0,0,245.0,126.0,10.0,390.0,0,0,0.0,0,Vendredi,3,Janvier,2023-2024,0.0,-1.0,0,0.0,1.0,0.0,0,0,Vendredi,-1,"[poulet roti sauceforestière'];[Penne'];['Mimmollette'];['Clémentine'];['yahourt','pain d'épices','jus de fruits']",-1,-1,-1,-1,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,59.0,58.99993,-6.866455078125e-05,-0.00011638072998907702
22/01/2024,AIME CESAIRE,Elementaires,48.651733,2.378185,67.0,58.0,177,-1.0,-1.0,-1.0,-1.0,lundi,"['feta','Batavia','Cube de colin sauce nicoise-semoule-Edam','Arlequin de fruits','Céréales-Lait-Fruit']",0,0,0,0,0,0,320.0,106.0,14.0,469.0,0,0,0.0,0,Lundi,4,Janvier,2023-2024,0.0,-1.0,0,0.0,0.0,1.0,0,0,Lundi,"['feta','Batavia']",['Cube de colin sauce nicoise'],['semoule'],['Edam'],"['Arlequin de fruits','Céréales-Lait-Fruit']",-1,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,58.0,56.793564,-1.2064361572265625,-2.124248023185241
23/01/2024,AIME CESAIRE,Elementaires,48.651733,2.378185,67.0,58.0,177,-1.0,-1.0,-1.0,-1.0,mardi,"['Macédoine Parisienne','Omelette bio - Purée de Potiron carrotte','petit suisse','Clémentine','Pain suisse-compte']",0,0,0,0,0,0,320.0,106.0,14.0,469.0,0,0,0.0,0,Mardi,4,Janvier,2023-2024,0.0,-1.0,0,0.0,0.0,0.0,0,0,Mardi,['Macédoine Parisienne'],['Omelette bio'],[Purée de Potiron carrotte'],['petit suisse'],"['Clémentine','Pain suisse','compte']",-1,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,58.0,59.732246,1.7322463989257812,2.9000188396680384
