date,ecole,type ecole,latitude,longitude,prevision,reel,effectif,taux_grevistes,nos,ind,greves_manquantes,menu,ferie,veille_ferie,retour_ferie,vacances,retour_vacances,veille_vacances,inc_grippe,inc_gastro,inc_varicelle,inc_covid,fete_musulmane,ramadan,fete_chretienne,fete_juive,jour,semaine,mois,annee_scolaire,repas_noel,gaspillage_volume,gaspillage_pourcentage,porc,viande,poisson,4_premiers_jours,4_derniers_jours,Entrée,Plat,Accompagnement,Fromage,Dessert,Entrée Food Type,Plat Food Type,Accompagnement Food Type,Fromage Food Type,Dessert Food Type,Entrée_Bio,Plat_Bio,Accompagnement_Bio,Fromage_Bio,Dessert_Bio,affluence_reelle,affluence_reelle_predite,gaspillage_predit,gaspillage_predit_pourcentage
03/01/2023,AIME CESAIRE,Elementaires,48.651733,2.378185,-1.0,54.0,168,-1.0,-1.0,-1.0,-1.0,"['Carottes râpées','Lasagne ricotta épinards','Kiri / Babybel','Semoule au lait','Biscuit/Lait/Fruit']",0.0,0.0,0.0,0.0,1.0,0.0,291.0,120.0,12.0,291.0,0.0,0.0,0.0,0.0,mardi,1,Janvier,2022-2023,0.0,-1.0,0,0.0,0.0,-1.0,0.0,0.0,['Carottes râpées'],['Lasagne ricotta épinards'],-1,['Kiri / Babybel'],['Semoule au lait/Biscuit/Lait/Fruit'],-1,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,54.0,54.8225,0.822499999999998,1.5002964111450554
05/01/2023,AIME CESAIRE,Elementaires,48.651733,2.378185,-1.0,54.0,168,-1.0,-1.0,-1.0,-1.0,"['Salade Iceberg et croutons','Sauté de veau forestier','Duo de courgettes','Emmental','Galette des rois','Galette bretonne/Lait/FruitGalette']",0.0,0.0,0.0,0.0,0.0,0.0,291.0,120.0,12.0,291.0,0.0,0.0,0.0,0.0,jeudi,1,Janvier,2022-2023,0.0,-1.0,0,0.0,1.0,-1.0,0.0,0.0,['Salade Iceberg et croutons'],['Sauté de veau forestier'],['Duo de courgettes'],['Emmental'],"['Galette des rois','Galette bretonne/Lait/FruitGalette']",-1,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,54.0,54.7725,0.7725000000000009,1.4103792961796537
06/01/2023,AIME CESAIRE,Elementaires,48.651733,2.378185,-1.0,52.0,168,-1.0,-1.0,-1.0,-1.0,"['Filet de poulet sauce colombo','pommes noisette','petit suisse','orange','pain/fromage/jus de fruit']",0.0,0.0,0.0,0.0,0.0,0.0,291.0,120.0,12.0,291.0,0.0,0.0,0.0,0.0,vendredi,1,Janvier,2022-2023,0.0,-1.0,0,0.0,1.0,-1.0,0.0,0.0,-1,['Filet de poulet sauce colombo'],['pommes noisette'],['petit suisse'],"['orange','pain/fromage/jus de fruit']",-1,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,52.0,54.0175,2.0174999999999983,3.734900726616371
09/01/2023,AIME CESAIRE,Elementaires,48.651733,2.378185,54.0,49.0,168,-1.0,-1.0,-1.0,-1.0,"['coeslaw','sauté d'agneau au romarin','pomme de terre haricots vers','mimolette','litchis','pain/fromage/jus de fruits']",0.0,0.0,0.0,0.0,0.0,0.0,196.0,107.0,10.0,196.0,0.0,0.0,0.0,0.0,lundi,2,Janvier,2022-2023,0.0,-1.0,0,0.0,1.0,-1.0,0.0,0.0,['coeslaw'],['sauté d'agneau au romarin'],['pomme de terre haricots vers'],['mimolette'],"['litchis','pain/fromage/jus de fruits']",-1,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,49.0,51.8125,2.8125,5.42822677925211
10/01/2023,AIME CESAIRE,Elementaires,48.651733,2.378185,54.0,50.0,168,-1.0,-1.0,-1.0,-1.0,"['feuille de chêne','Croziflette aux poireaux et petits pois','St Paulin','pomme','Yaourt/nature/Biscuit']",0.0,0.0,0.0,0.0,0.0,0.0,196.0,107.0,10.0,196.0,0.0,0.0,0.0,0.0,mardi,2,Janvier,2022-2023,0.0,-1.0,0,0.0,0.0,-1.0,0.0,0.0,['feuille de chêne'],['Croziflette aux poireaux et petits pois'],"['St Paulin','pomme''Yaourt/nature/Biscuit']",-1,-1,-1,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,50.0,52.64,2.6400000000000006,5.015197568389058
12/01/2023,AIME CESAIRE,Elementaires,48.651733,2.378185,54.0,58.0,168,-1.0,-1.0,-1.0,-1.0,"['Salade de lentilles','Bœuf bourguignon','Jeunes carottes','Coulommiers','Banane','Chaussons aux pommes/Lait']",0.0,0.0,0.0,0.0,0.0,0.0,196.0,107.0,10.0,196.0,0.0,0.0,0.0,0.0,jeudi,2,Janvier,2022-2023,0.0,-1.0,0,0.0,1.0,-1.0,0.0,0.0,"['Salade de lentilles','Bœuf bourguignon','Jeunes carottes','Coulommiers','Banane','Chaussons aux pommes/Lait']",-1,-1,-1,-1,-1,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,58.0,56.7425,-1.2575000000000003,-2.216151914349915
13/01/2023,AIME CESAIRE,Elementaires,48.651733,2.378185,54.0,52.0,168,-1.0,-1.0,-1.0,-1.0,"['Salade verte et emmental cube','Dos de cabillaud','Riz trois grains','Petit suisse aromatisé','Pain/Fromage/Fruit']",0.0,0.0,0.0,0.0,0.0,0.0,196.0,107.0,10.0,196.0,0.0,0.0,0.0,0.0,vendredi,2,Janvier,2022-2023,0.0,-1.0,0,0.0,1.0,-1.0,0.0,0.0,['Velouté de potimarron et croutons'],['Escalope de dinde sauce basquaise'],['Boulgour'],['Petit suisse sucré'],"['Clémentine','Brioche aux pépites de chocolat/Lait']",-1,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,52.0,53.085,1.0850000000000009,2.043891871526798
16/01/2023,AIME CESAIRE,Elementaires,48.651733,2.378185,58.0,56.0,168,-1.0,-1.0,-1.0,-1.0,"['Salade aux haricots rouges','Sauté de veau marengo','Poêlée gourmande aux pointes d'asperges','Fromage blanc','Poire','Pain/Fromage/Compote']",0.0,0.0,0.0,0.0,0.0,0.0,173.0,98.0,9.0,173.0,0.0,0.0,0.0,0.0,lundi,3,Janvier,2022-2023,0.0,-1.0,0,0.0,1.0,-1.0,0.0,0.0,['Salade aux haricots rouges'],['Sauté de veau marengo'],['Poêlée gourmande aux pointes d'asperges'],"['Fromage blanc','Poire','Pain/Fromage/Compote']",-1,-1,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,56.0,56.7075,0.7075000000000031,1.247630383988014
17/01/2023,AIME CESAIRE,Elementaires,48.651733,2.378185,58.0,54.0,168,-1.0,-1.0,-1.0,-1.0,"['Cœur de laitue','Curry de légumes et patate douce et pois chiche','Trio de quinoa boulgour et blé','Pavé demi sel','Purée de fruits rouges','Pain/Pâte à tartiner/Lait']",0.0,0.0,0.0,0.0,0.0,0.0,173.0,98.0,9.0,173.0,0.0,0.0,0.0,0.0,mardi,3,Janvier,2022-2023,0.0,-1.0,0,0.0,0.0,-1.0,0.0,0.0,['Cœur de laitue'],['Curry de légumes et patate douce et pois chiche'],['Trio de quinoa boulgour et blé'],['Pavé demi sel'],"['Purée de fruits rouges','Pain/Pâte à tartiner/Lait']",-1,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,54.0,55.31,1.3100000000000023,2.3684686313505736
20/01/2023,AIME CESAIRE,Elementaires,48.651733,2.378185,58.0,58.0,168,-1.0,-1.0,-1.0,-1.0,"['Poulet rôti au thym','Pommes de terre','Mimolette','Clémentine','Pain d'épices/Beurre']",0.0,0.0,0.0,0.0,0.0,0.0,173.0,98.0,9.0,173.0,0.0,0.0,0.0,0.0,vendredi,3,Janvier,2022-2023,0.0,-1.0,0,0.0,1.0,-1.0,0.0,0.0,-1,['Poulet rôti au thym'],['Pommes de terre'],['Mimolette'],"['Clémentine','Pain d'épices/Beurre']",-1,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,58.0,57.5975,-0.4025000000000034,-0.6988150527366699
23/01/2023,AIME CESAIRE,Elementaires,48.651733,2.378185,58.0,58.0,168,-1.0,-1.0,-1.0,-1.0,"['Salade verte','Dos de cabillaud sauce','Gratin de pommes de terre et blettes','Edam','Arlequin de fruits','Céréales/Lait/Fruit']",0.0,0.0,0.0,0.0,0.0,0.0,183.0,125.0,9.0,183.0,0.0,0.0,0.0,0.0,lundi,4,Janvier,2022-2023,0.0,-1.0,0,0.0,0.0,-1.0,0.0,0.0,['Salade verte'],['Dos de cabillaud sauce'],['Gratin de pommes de terre et blettes'],"['Edam','Arlequin de fruits','Céréales/Lait/Fruit']",-1,-1,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,58.0,58.0225,0.022500000000000853,0.038778060235255034
