date;ecole;type ecole;latitude;longitude;prevision;reel;effectif;taux_grevistes;nos;ind;greves_manquantes;menu;ferie;veille_ferie;retour_ferie;vacances;retour_vacances;veille_vacances;inc_grippe;inc_gastro;inc_varicelle;inc_covid;fete_musulmane;ramadan;fete_chretienne;fete_juive;jour;semaine;mois;annee_scolaire;repas_noel;gaspillage_volume;gaspillage_pourcentage;porc;viande;poisson;4_premiers_jours;4_derniers_jours;Entrée;Plat;Accompagnement;Fromage;Dessert;Entrée Food Type;Plat Food Type;Accompagnement Food Type;Fromage Food Type;Dessert Food Type;Entrée_Bio;Plat_Bio;Accompagnement_Bio;Fromage_Bio;Dessert_Bio
01/01/2024;AIME CESAIRE;Elementaires;48.651733;2.378185;0;0;177;;;;;;1.0;0.0;0.0;1.0;0.0;0.0;181;125;20;311;0.0;0.0;0;1;Lundi;1;Janvier;2023-2024;;;;;;;0.0;0.0;;;;;;;;;;;;;;;
02/01/2024;AIME CESAIRE;Elementaires;48.651733;2.378185;0;0;177;;;;;;0.0;0.0;1.0;1.0;0.0;0.0;181;125;20;311;0.0;0.0;0;0;Mardi;1;Janvier;2023-2024;;;;;;;0.0;0.0;;;;;;;;;;;;;;;
03/01/2024;AIME CESAIRE;Elementaires;48.651733;2.378185;0;0;177;;;;;;0.0;0.0;0.0;1.0;0.0;0.0;181;125;20;311;0.0;0.0;0;0;Mercredi;1;Janvier;2023-2024;;;;;;;0.0;0.0;;;;;;;;;;;;;;;
04/01/2024;AIME CESAIRE;Elementaires;48.651733;2.378185;0;0;177;;;;;;0.0;0.0;0.0;1.0;0.0;0.0;181;125;20;311;0.0;0.0;0;0;Jeudi;1;Janvier;2023-2024;;;;;;;0.0;0.0;;;;;;;;;;;;;;;
05/01/2024;AIME CESAIRE;Elementaires;48.651733;2.378185;0;0;177;;;;;;0.0;0.0;0.0;1.0;0.0;0.0;181;125;20;311;0.0;0.0;0;0;Vendredi;1;Janvier;2023-2024;;;;;;;0.0;0.0;;;;;;;;;;;;;;;
06/01/2024;AIME CESAIRE;Elementaires;48.651733;2.378185;0;0;177;;;;;;0.0;0.0;0.0;1.0;0.0;0.0;181;125;20;311;0.0;0.0;1;0;Samedi;1;Janvier;2023-2024;;;;;;;0.0;0.0;;;;;;;;;;;;;;;
07/01/2024;AIME CESAIRE;Elementaires;48.651733;2.378185;0;0;177;;;;;;0.0;0.0;0.0;1.0;0.0;0.0;181;125;20;311;0.0;0.0;0;0;Dimanche;1;Janvier;2023-2024;;;;;;;0.0;0.0;;;;;;;;;;;;;;;
08/01/2024;AIME CESAIRE;Elementaires;48.651733;2.378185;;57;177;;;;;['filet de hoki','pomme de terre perdillées','mimollette','pomme golden/pain demie/beure/barre de chocolat'];0.0;0.0;0.0;0.0;1.0;0.0;194;123;11;335;0.0;0.0;0;0;Lundi;2;Janvier;2023-2024;0.0;;;0;0;1;0.0;0.0;;['filet de hoki'];['pomme de terre perdillées'];['mimollette'];['pomme golden/pain demie/beure/barre de chocolat'];;;;;;;;;;
09/01/2024;AIME CESAIRE;Elementaires;48.651733;2.378185;;67;177;;;;;['feuille de chène blonde','Crozillette','aux petits pois','Roblochon','Purée de pomme bio','Yahourt nature','Biscuit','fruit'];0.0;0.0;0.0;0.0;0.0;0.0;194;123;11;335;0.0;0.0;0;0;Mardi;2;Janvier;2023-2024;0.0;;;0;0;0;0.0;0.0;['feuille de chène blonde'];['Crozillette'];['aux petits pois'];['Roblochon'];['Purée de pomme bio/Yahourt nature/Biscuit/fruit'];;;;;;;;;;
10/01/2024;AIME CESAIRE;Elementaires;48.651733;2.378185;0;0;177;;;;;['Velouté de Potion et croutons','Escalope de volaille sauce Basquaise','Boulgour bio','Petit suisse sucré','Clémentine/Brioche aux pépites de chocholat/Lait];0.0;0.0;0.0;0.0;0.0;0.0;194;123;11;335;0.0;0.0;0;0;Mercredi;2;Janvier;2023-2024;0.0;;;0;1;0;0.0;0.0;['Velouté de Potion et croutons'];['Escalope de volaille sauce Basquaise'];['Boulgour bio'];['Petit suisse sucré'];['Clémentine/Brioche aux pépites de chocholat/Lait'];;;;;;;;;;
